Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution
000,001,Tuning PuretoneBef,cd016_000_000_plane2,,0,0,0,0,0,0
000,002,Tuning WhiteNoiseBef,cd016_000_001_plane2,,0,0,0,0,0,0
001,001,Behavior,cd016_001_001_plane2,cd016_1v2.txt,0,0,0,0,0,0
001,002,Behavior,cd016_001_004_plane2,cd016_1v5.txt,0,0,0,0,0,0
001,003,Behavior,cd016_001_006_plane2,cd016_1v7.txt,0,0,0,0,0,0
001,004,Behavior,cd016_001_007_plane2,cd016_1v8.txt,0,0,0,0,0,0
001,005,Baseline,cd016_001_009_plane2,,0,0,0,0,0,0
002,001,Behavior,cd016_002_001_plane2,cd016_2v2.txt,0,0,0,0,0,0
002,002,Behavior,cd016_002_003_plane2,cd016_2v4.txt,0,0,0,0,0,0
002,003,Behavior,cd016_002_004_plane2,cd016_2v5.txt,0,0,0,0,0,0
002,004,Behavior,cd016_002_005_plane2,cd016_2v6.txt,0,0,0,0,0,0
002,005,Baseline,cd016_002_006_plane2,,0,0,0,0,0,0
003,001,Behavior,cd016_003_001_plane2,cd016_3v2.txt,0,0,0,0,0,0
003,002,Behavior,cd016_003_002_plane2,cd016_3v3.txt,0,0,0,0,0,0
003,003,Behavior,cd016_003_003_plane2,cd016_3v4.txt,0,0,0,0,0,0
003,004,Behavior,cd016_003_004_plane2,cd016_3v5.txt,0,0,0,0,0,0
003,005,Baseline,cd016_003_005_plane2,,0,0,0,0,0,0
004,001,Behavior,cd016_004_001_plane2,cd016_4v2.txt,0,0,0,0,0,0
004,002,Behavior,cd016_004_003_plane2,cd016_4v4.txt,0,0,0,0,0,0
004,003,Behavior,cd016_004_004_plane2,cd016_4v5.txt,0,0,0,0,0,0
004,004,Behavior,cd016_004_005_plane2,cd016_4v6.txt,0,0,0,0,0,0
004,005,Behavior,cd016_004_006_plane2,cd016_4v7.txt,0,0,0,0,0,0
004,006,Baseline,cd016_004_008_plane2,,0,0,0,0,0,0
005,001,Behavior,cd016_005_001_plane2,cd016_5v2.txt,0,0,0,0,0,0
005,002,Behavior,cd016_005_003_plane2,cd016_5v4.txt,0,0,0,0,0,0
005,003,Behavior,cd016_005_005_plane2,cd016_5v6.txt,0,0,0,0,0,0
005,004,Behavior,cd016_005_006_plane2,cd016_5v7.txt,0,0,0,0,0,0
005,005,Baseline,cd016_005_007_plane2,,0,0,0,0,0,0
006,001,Behavior,cd016_006_003_plane2,cd016_6v4.txt,0,0,0,0,0,0
006,002,Behavior,cd016_006_004_plane2,cd016_6v5.txt,0,0,0,0,0,0
006,003,Behavior,cd016_006_005_plane2,cd016_6v6.txt,0,0,0,0,0,0
006,004,Behavior,cd016_006_006_plane2,cd016_6v7.txt,0,0,0,0,0,0
006,005,Baseline,cd016_006_007_plane2,,0,0,0,0,0,0
007,001,Behavior,cd016_007_000_plane2,cd016_7v1.txt,0,0,0,0,0,0
007,002,Behavior,cd016_007_001_plane2,cd016_7v2.txt,0,0,0,0,0,0
007,003,Behavior,cd016_007_002_plane2,cd016_7v3.txt,0,0,0,0,0,0
007,004,Behavior,cd016_007_003_plane2,cd016_7v4.txt,0,0,0,0,0,0
007,005,Baseline,cd016_007_004_plane2,,0,0,0,0,0,0
008,001,Behavior,cd016_008_003_plane2,cd016_8v4.txt,0,0,0,0,0,0
008,002,Behavior,cd016_008_004_plane2,cd016_8v5.txt,0,0,0,0,0,0
008,003,Behavior,cd016_008_007_plane2,cd016_8v8.txt,0,0,0,0,0,0
008,004,Behavior,cd016_008_008_plane2,cd016_8v9.txt,0,0,0,0,0,0
008,005,Baseline,cd016_008_009_plane2,,0,0,0,0,0,0
009,001,Behavior,cd016_009_001_plane2,cd016_9v2.txt,0,0,0,0,0,0
009,002,Behavior,cd016_009_002_plane2,cd016_9v3.txt,0,0,0,0,0,0
009,003,Behavior,cd016_009_003_plane2,cd016_9v4.txt,0,0,0,0,0,0
009,004,Behavior,cd016_009_004_plane2,cd016_9v5.txt,0,0,0,0,0,0
009,005,Baseline,cd016_009_005_plane2,,0,0,0,0,0,0
010,001,Behavior,cd016_010_001_plane2,cd016_10v2.txt,0,0,0,0,0,0
010,002,Behavior,cd016_010_002_plane2,cd016_10v3.txt,0,0,0,0,0,0
010,003,Behavior,cd016_010_003_plane2,cd016_10v4.txt,0,0,0,0,0,0
010,004,Behavior,cd016_010_004_plane2,cd016_10v5.txt,0,0,0,0,0,0
010,005,Behavior,cd016_010_005_plane2,cd016_10v6.txt,0,0,0,0,0,0
010,006,Behavior,cd016_010_008_plane2,cd016_10v9.txt,0,0,0,0,0,0
010,007,Baseline,cd016_010_009_plane2,,0,0,0,0,0,0
011,001,Behavior,cd016_011_003_plane2,cd016_11v4.txt,0,0,0,0,0,0
011,002,Behavior,cd016_011_006_plane2,cd016_11v7.txt,0,0,0,0,0,0
011,003,Behavior,cd016_011_009_plane2,cd016_11v10.txt,0,0,0,0,0,0
011,004,Behavior,cd016_011_010_plane2,cd016_11v11.txt,0,0,0,0,0,0
011,005,Baseline,cd016_011_011_plane2,,0,0,0,0,0,0
012,001,Behavior,cd016_012_001_plane2,cd016_12v2.txt,0,0,0,0,0,0
012,002,Behavior,cd016_012_002_plane2,cd016_12v3.txt,0,0,0,0,0,0
012,003,Behavior,cd016_012_003_plane2,cd016_12v4.txt,0,0,0,0,0,0
012,004,Behavior,cd016_012_004_plane2,cd016_12v5.txt,0,0,0,0,0,0
012,005,Baseline,cd016_012_005_plane2,,0,0,0,0,0,0
013,001,Behavior,cd016_013_003_plane2,cd016_13v4.txt,0,0,0,0,0,0
013,002,Behavior,cd016_013_004_plane2,cd016_13v5.txt,0,0,0,0,0,0
013,003,Behavior,cd016_013_005_plane2,cd016_13v6.txt,0,0,0,0,0,0
013,004,Behavior,cd016_013_006_plane2,cd016_13v7.txt,0,0,0,0,0,0
013,005,Baseline,cd016_013_007_plane2,,0,0,0,0,0,0
014,001,Behavior,cd016_014_001_plane2,cd016_14v2.txt,0,0,0,0,0,0
014,002,Behavior,cd016_014_002_plane2,cd016_14v3.txt,0,0,0,0,0,0
014,003,Behavior,cd016_014_003_plane2,cd016_14v4.txt,0,0,0,0,0,0
014,004,Behavior,cd016_014_004_plane2,cd016_14v5.txt,0,0,0,0,0,0
014,005,Baseline,cd016_014_005_plane2,,0,0,0,0,0,0
015,001,Behavior,cd016_015_001_plane2,cd016_15v2.txt,0,0,0,0,0,0
015,002,Behavior,cd016_015_004_plane2,cd016_15v5.txt,0,0,0,0,0,0
015,003,Behavior,cd016_015_005_plane2,cd016_15v6.txt,0,0,0,0,0,0
015,004,Behavior,cd016_015_010_plane2,cd016_15v11.txt,0,0,0,0,0,0
015,005,Baseline,cd016_015_011_plane2,,0,0,0,0,0,0
016,001,Behavior,cd016_016_001_plane2,cd016_16v2.txt,0,0,0,0,0,0
016,002,Behavior,cd016_016_002_plane2,cd016_16v3.txt,0,0,0,0,0,0
016,003,Behavior,cd016_016_005_plane2,cd016_16v6.txt,0,0,0,0,0,0
016,004,Behavior,cd016_016_006_plane2,cd016_16v7.txt,0,0,0,0,0,0
016,005,Behavior,cd016_016_009_plane2,cd016_16v10.txt,0,0,0,0,0,0
016,006,Baseline,cd016_016_010_plane2,,0,0,0,0,0,0
017,001,Behavior,cd016_017_001_plane2,cd016_17v2.txt,0,0,0,0,0,0
017,002,Behavior,cd016_017_004_plane2,cd016_17v5.txt,0,0,0,0,0,0
017,003,Behavior,cd016_017_005_plane2,cd016_17v6.txt,0,0,0,0,0,0
017,004,Behavior,cd016_017_006_plane2,cd016_17v7.txt,0,0,0,0,0,0
017,005,Behavior,cd016_017_007_plane2,cd016_17v8.txt,0,0,0,0,0,0
017,006,Baseline,cd016_017_008_plane2,,0,0,0,0,0,0
018,001,Tuning PuretoneAftD1,cd016_018_000_plane2,,0,0,0,0,0,0
019,001,Tuning PuretoneAftD7,cd016_019_000_plane2,,0,0,0,0,0,0
